特征,重要性
Weight,532531.1538908575
Height,35809.20057336753
Gender,29948.92694040388
family_history_with_overweight,24497.189937369898
FCVC,22106.366013132036
CAEC,11170.791110858321
Age,10860.300519464072
FAF,7851.667935362784
TUE,7330.0056162015535
CH2O,2445.99050719128
NCP,2193.0587685066275
MTRANS,1874.1120920404792
CALC,953.8714673491195
FAVC,116.23746013082564
SMOKE,12.457594692707062
SCC,2.3530296087265015
