数据集,模型,RMSE,MAE,R2
训练集,LightGBM,0.12830931866884268,0.08808812955632134,0.9997436618819202
验证集,LightGBM,0.7389794864354068,0.337777741252756,0.9911054334977705
测试集,LightGBM,0.49849506000766924,0.3395052639736495,0.9962380898424491
训练集,BP神经网络,0.5741977152837736,0.4451132558048769,0.9948664273308102
验证集,BP神经网络,0.6429075874572572,0.4884881524800884,0.9932677982350556
测试集,BP神经网络,0.6739238532578424,0.5183004399550448,0.9931244355356652
