数据集,样本数量,MSE,RMSE,MAE,R2
训练集,1352,0.008355073329872521,0.09140609022309466,0.0399781557067004,0.9998700695808921
验证集,337,0.08727474036254487,0.29542298550137375,0.19207417596935542,0.9985680650421648
测试集,422,0.1016597018395638,0.31884118592108485,0.20493682897116156,0.9984644092878666
